,Step 1: Evaluating Countries based on specified factors,,,,,,,,"Step 2: Relative to UAE, and Normalizing each metric to a 0-1 score so they are comparable",,,,,,,Step 3: Weighted Scoring,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Higher better,Lower the Better,Higher the better,Lower the better,Higher the better,Lower the better,Higher the better,,Higher means bigger target/opportunity,Higher makes UAE a better option,Lower makes UAE a better option,Higher makes UAE a better option,Lower makes UAE a better option,Lower makes UAE a better option,,,,,
Country,USD Millionaire Population,Price to Income Ratio,Gross Rental Yield ,Mortgage as a percentage of income,Affordability Index (lower cost of borrowing),Economic Growth Rate,% millionaires,,USD Millionaire Population,Price to Income Ratio,Gross Rental Yield ,Mortgage as a percentage of income,Affordability Index (lower cost of borrowing),Economic Growth Rate,,,Score,,
UAE,"202,201",3.9,5.27,29.1,3.4,3.4,2.80,,-,-,-,-,-,-,,UAE,-,,
United States,"23,800,000",3.3,6.1,29.9,3.3,2.7,8.50,,1.0000000000,0.0146520147,0.6393442623,0.0375123396,0.7073170732,0.4929577465,,United States,57.5,x,"Largest global HNWI source; attractive capital base for Dubai, BUT structural tax complexity (PFIC/CFC/treaty gaps) raises compliance costs and can reduce net investor yield."
China,"7,200,000",30.2,3,224.9,0.4,3.9,0.60,,0.3017534359,1.0000000000,0.1311475410,1.0000000000,0.0000000000,0.6619718310,,China,41.8,Prime,Ongoing property caution at home + wealth diversification keeps outbound interest alive; UAE remains a “safe diversification” story (with compliance/controls a watch-out).
UK,"2,850,000",9.1,4.4,77.3,1.3,1.1,5.80,,0.1187791857,0.2271062271,0.3606557377,0.2714708786,0.2195121951,0.2676056338,,UK,23.4,Secondary,Dubai is actively targeting UK buyers; FX dynamics and tax pressure are driving stronger UK demand into Dubai.
France,"2,900,000",11.2,2.8,78.1,1.3,0.7,5.60,,0.1208823380,0.3040293040,0.0983606557,0.2754195459,0.2195121951,0.2112676056,,France,18.8,,Higher taxes and tighter investor sentiment at home can nudge capital outward; Dubai is positioned as a tax-efficient alternative.
Japan,"2,700,000",11.3,2.2,67.7,1.5,2.9,2.70,,0.1124697288,0.3076923077,0.0000000000,0.2240868707,0.2682926829,0.5211267606,,Japan,20.2,,Wealthy but typically conservative; outbound appetite exists yet Dubai competes mainly on yield and residency/lifestyle.
Germany,"2,820,819",9.4,3.6,68.3,1.5,0.1,4.10,,0.1175517440,0.2380952381,0.2295081967,0.2270483712,0.2682926829,0.1267605634,,Germany,20.0,,Cooling housing market + high financing costs increase interest in overseas yield; Dubai competes strongly on rental yields.
Canada,"2,300,000",10.4,4.1,94.7,1.1,1.2,6.30,,0.0956445104,0.2747252747,0.3114754098,0.3573543929,0.1707317073,0.2816901408,,Canada,22.5,Secondary,High housing costs + tighter local rules make offshore diversification appealing; Dubai offers better yield and purchase flexibility.
