Country,EK_Flights,EK_Seats,FZ_Flights,FZ_Seats,Total_Flights,Total_Seats
Australia,3,1438,0,0,3,1438
Austria,1,365,0,0,1,365
Belgium,1,365,0,0,1,365
Czechia,1,365,0,0,1,365
Egypt,3,1319,0,0,3,1319
France,4,1803,0,0,4,1803
Germany,5,1825,0,0,5,1825
Hungary,0,0,0,0,0,0
India,23,8773,5,896,28,9669
Italy,4,1803,0,0,4,1803
Kazakhstan,0,0,0,0,0,0
Netherlands,2,884,0,0,2,884
Poland,1,365,0,0,1,365
Romania,0,0,2,356,2,356
Russia,2,884,0,0,2,884
Saudi Arabia,6,2652,19,3480,25,6132
South Africa,5,1979,0,0,5,1979
Spain,4,1444,0,0,4,1444
Switzerland,2,884,0,0,2,884
Turkey,2,919,1,180,3,1099
UK,12,5682,0,0,12,5682
USA,4,1512,0,0,4,1512
